                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.91696,                0.64212,                0.91953,                 1.2152,                0.95793,                   0.02,                0.01889,                0.01475,                0.10105,                   0.03,                 0.0232,                0.00725,                    nan,                0.39368,                    nan,                    nan,               0.001806,               0.001806,               0.001806
                     52,                0.84353,                0.62714,                0.82015,                 1.1351,                0.48165,                   0.03,                0.02638,                0.01993,                 0.2142,                   0.04,                0.03975,                0.01483,                    nan,                0.26931,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     53,                0.86927,                0.65413,                0.88413,                 1.1423,                0.13271,                   0.03,                0.01842,                0.01444,                0.10734,                   0.03,                0.02281,                 0.0122,                    nan,                0.38344,                    nan,                    nan,               0.001798,               0.001798,               0.001798
                     54,                0.82026,                0.60148,                0.77667,                 1.1179,                0.63824,                   0.02,                0.02199,                0.01726,                0.02762,                    0.1,                0.03623,                0.01481,                    nan,                0.30442,                    nan,                    nan,              0.0017941,              0.0017941,              0.0017941
                     55,                0.85975,                0.63347,                0.83675,                 1.1388,                 0.9589,                   0.02,                 0.0191,                 0.0186,                0.14887,                   0.03,                0.03221,                0.01782,                    nan,                0.34212,                    nan,                    nan,              0.0017901,              0.0017901,              0.0017901
                     56,                 0.8146,                0.61225,                0.81289,                 1.1334,                0.27236,                   0.03,                0.02832,                0.02119,                0.94227,                   0.02,                0.02486,                0.01247,                    nan,                0.31086,                    nan,                    nan,              0.0017862,              0.0017862,              0.0017862
                     57,                0.81938,                0.61752,                0.79953,                 1.1421,                0.51998,                   0.02,                0.01651,                0.01291,                0.51998,                   0.02,                0.01699,                0.00815,                    nan,                0.48177,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     58,                 0.8132,                0.67799,                0.79641,                 1.1325,                0.87677,                   0.02,                0.02075,                 0.0163,                0.87677,                   0.02,                0.02298,                0.01165,                    nan,                0.29921,                    nan,                    nan,              0.0017782,              0.0017782,              0.0017782
                     59,                0.89076,                0.66255,                0.86987,                 1.1544,                 0.1845,                   0.03,                0.01954,                0.01614,                0.18052,                   0.03,                0.02133,                0.00786,                    nan,                0.36524,                    nan,                    nan,              0.0017743,              0.0017743,              0.0017743
                     60,                0.81247,                0.59061,                0.78539,                 1.1515,                0.31842,                   0.03,                0.02229,                0.02033,                0.83425,                   0.02,                0.01643,                0.00744,                    nan,                 0.9232,                    nan,                    nan,              0.0017703,              0.0017703,              0.0017703
                     61,                0.77547,                0.57711,                0.75242,                 1.0972,                0.85293,                   0.03,                0.02931,                0.02331,                0.85293,                   0.03,                0.03454,                0.01111,                    nan,                0.31124,                    nan,                    nan,              0.0017664,              0.0017664,              0.0017664
                     62,                0.81688,                 0.6379,                0.75153,                 1.1321,                 0.2084,                   0.03,                0.02207,                0.01809,                 0.2084,                   0.03,                0.02084,                0.01054,                    nan,                0.41083,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     63,                0.78037,                0.62898,                0.72939,                 1.1045,                0.31398,                   0.03,                0.03352,                0.02384,                0.93651,                   0.02,                0.02554,                0.00935,                    nan,                0.37172,                    nan,                    nan,              0.0017584,              0.0017584,              0.0017584
                     64,                0.78498,                0.62711,                0.79715,                 1.1328,                0.19388,                   0.03,                0.02566,                 0.0195,                0.19388,                   0.03,                0.02755,                0.01116,                    nan,                0.33136,                    nan,                    nan,              0.0017545,              0.0017545,              0.0017545
                     65,                0.76941,                0.56776,                0.75366,                 1.0907,                0.55971,                   0.03,                0.02289,                0.01863,                0.86709,                   0.02,                0.01671,                0.00929,                    nan,                0.37264,                    nan,                    nan,              0.0017505,              0.0017505,              0.0017505
                     66,                 0.8135,                0.68744,                0.81576,                 1.1184,                 0.2995,                   0.03,                0.02121,                0.01751,                0.48196,                   0.02,                0.01391,                0.00679,                    nan,                0.45383,                    nan,                    nan,              0.0017466,              0.0017466,              0.0017466
                     67,                 0.7448,                0.63413,                0.70878,                 1.0812,                0.41851,                   0.03,                0.02814,                0.02273,                0.41851,                   0.03,                0.03342,                0.01349,                    nan,                0.34845,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     68,                0.73822,                0.59332,                0.74697,                 1.0878,                0.19788,                   0.03,                0.02204,                0.01522,                0.96457,                   0.02,                 0.0189,                0.00707,                    nan,                0.45962,                    nan,                    nan,              0.0017386,              0.0017386,              0.0017386
                     69,                0.73385,                0.58781,                0.74548,                 1.0844,                0.28057,                   0.03,                0.01484,                0.01288,                0.28057,                   0.03,                0.01484,                 0.0068,                    nan,                 0.3784,                    nan,                    nan,              0.0017347,              0.0017347,              0.0017347
