                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.70989,                0.66834,                 1.2462,                0.94887,                0.93445,                0.97603,                0.87337,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     65,                0.68667,                0.67085,                 1.2449,                0.98592,                0.98846,                0.98922,                0.90984,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     66,                0.71126,                0.68323,                 1.2582,                0.97326,                0.98347,                 0.9903,                0.88996,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.6858,                0.66411,                 1.2406,                0.89037,                0.95092,                0.98084,                0.88639,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     68,                0.67704,                0.63652,                 1.2257,                 0.9743,                0.98179,                0.99031,                0.91576,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     69,                0.66848,                0.63023,                 1.2184,                0.99147,                0.98063,                0.99126,                0.91025,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     70,                0.65883,                  0.644,                  1.214,                0.97216,                0.99621,                0.98922,                0.91823,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     71,                0.65002,                0.63015,                 1.2155,                0.95549,                0.96937,                0.98156,                0.89486,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     72,                0.66331,                0.64576,                 1.2205,                0.78921,                 0.9348,                0.88371,                0.78717,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     73,                0.64938,                0.63097,                 1.2047,                 0.9827,                0.99328,                0.99252,                0.91868,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     74,                0.64845,                 0.6232,                 1.2058,                0.96698,                0.98223,                0.98734,                0.92531,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.6389,                0.61699,                 1.1944,                0.96357,                0.96817,                0.98518,                0.90442,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.6375,                0.61888,                 1.2114,                0.97623,                0.99333,                0.99069,                0.92621,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     77,                0.62896,                0.62249,                 1.1827,                0.97743,                0.99196,                0.99127,                 0.9296,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     78,                0.62409,                0.61677,                 1.1824,                0.98537,                0.99237,                0.99231,                0.93877,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     79,                0.63587,                0.60218,                  1.186,                0.96134,                0.98836,                0.98953,                0.91218,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     80,                0.61997,                0.60413,                  1.184,                0.98295,                0.98928,                0.99081,                0.92533,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     81,                0.60756,                0.59631,                 1.1674,                0.91066,                0.96641,                0.98057,                0.91246,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     82,                0.63331,                0.60576,                 1.1826,                0.98684,                0.99033,                0.99189,                0.92506,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     83,                0.61448,                0.60107,                  1.181,                0.97954,                0.97052,                0.99126,                0.93506,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.5948,                0.57208,                 1.1655,                0.98749,                0.99089,                0.99215,                0.94466,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     85,                0.60096,                0.58167,                   1.17,                0.99233,                0.99104,                0.99183,                0.94473,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     86,                0.57537,                0.57236,                 1.1467,                0.99008,                0.98926,                0.99214,                0.94482,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     87,                  0.588,                0.57687,                 1.1539,                0.96038,                0.96933,                0.99011,                0.93742,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     88,                0.57783,                0.56078,                 1.1517,                0.99158,                0.99305,                0.99219,                0.94963,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     89,                0.58514,                0.57071,                 1.1523,                0.99048,                0.99175,                0.99253,                0.95075,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     90,                0.56427,                0.56586,                 1.1509,                0.96158,                0.97189,                0.98894,                0.93797,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     91,                0.44664,                  0.398,                 1.0541,                0.98822,                0.99309,                0.99121,                0.94978,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     92,                0.43274,                0.37285,                 1.0341,                0.98372,                 0.9887,                0.99181,                0.95206,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     93,                0.42376,                0.35846,                 1.0471,                0.96517,                0.97965,                0.99239,                0.95353,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     94,                0.41715,                 0.3661,                 1.0205,                0.98163,                0.99474,                0.99206,                 0.9582,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.4051,                0.35723,                 1.0142,                0.97872,                0.99489,                0.99228,                0.95853,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     96,                0.39666,                0.34355,                 1.0125,                0.98049,                0.99621,                0.99248,                0.95292,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.38571,                0.34078,                 1.0026,                0.98887,                 0.9922,                0.99253,                0.96004,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.39161,                0.34403,                0.99661,                0.98727,                0.99143,                0.99277,                0.96244,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.37902,                0.33653,                0.98894,                0.98584,                0.99344,                 0.9927,                0.96293,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.37952,                0.34172,                0.99461,                0.98433,                0.98937,                0.99261,                0.96008,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
