                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5289,                 1.9798,                 1.6888,                 1.6236,                0.35198,                0.12903,                0.08157,                0.02643,                0.08911,                0.03226,                0.00784,                0.00235,                    nan,                   1.81,                    nan,                    nan,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.4808,                 1.8031,                   1.48,                  1.561,                0.32478,                0.12903,                0.08377,                0.03659,                0.15949,                0.06452,                0.02657,                0.00743,                    nan,                 1.8895,                    nan,                    nan,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.4844,                 2.0382,                 1.6216,                 1.6177,                0.35769,                0.16129,                 0.0833,                 0.0303,                0.22803,                0.09677,                0.03429,                0.00572,                    nan,                 1.8846,                    nan,                    nan,              0.0019248,              0.0019248,              0.0019248
                     41,                 1.5535,                 1.9297,                 1.7249,                 1.6266,                0.61354,                0.16129,                 0.1298,                 0.0324,                0.30243,                0.06452,                0.02544,                0.00511,                    nan,                 1.8288,                    nan,                    nan,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.5321,                 1.9912,                 1.6166,                 1.6047,                0.32068,                0.12903,                0.10481,                 0.0387,                0.36727,                0.06452,                0.03293,                0.00692,                    nan,                 2.4556,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     43,                 1.5014,                 1.9607,                 1.5308,                 1.5701,                0.64554,                0.12903,                 0.1313,                 0.0397,                0.50216,                0.06452,                0.07383,                0.01795,                    nan,                 1.8678,                    nan,                    nan,              0.0019188,              0.0019188,              0.0019188
                     44,                 1.5341,                 1.8869,                 1.5959,                 1.6387,                0.42432,                0.12903,                0.09847,                0.03466,                0.58239,                0.06452,                0.07114,                0.02617,                    nan,                 1.8461,                    nan,                    nan,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.3842,                  1.774,                 1.4457,                 1.5446,                0.67263,                0.16129,                0.13444,                 0.0439,                 0.5062,                0.09677,                0.07678,                0.02517,                    nan,                 1.8504,                    nan,                    nan,              0.0019149,              0.0019149,              0.0019149
                     46,                 1.4447,                 2.0018,                 1.4943,                 1.5516,                0.21294,                0.12903,                0.08015,                0.04551,                0.70827,                0.09677,                0.09256,                0.03515,                    nan,                 1.8399,                    nan,                    nan,              0.0019129,              0.0019129,              0.0019129
                     47,                 1.4354,                  1.986,                 1.4468,                 1.5403,                0.70249,                0.09677,                0.09427,                0.04058,                0.70249,                0.09677,                0.09294,                0.03264,                    nan,                 1.7793,                    nan,                    nan,              0.0019109,              0.0019109,              0.0019109
                     48,                 1.3836,                 1.9076,                 1.4193,                 1.5229,                0.39459,                0.12903,                0.10536,                0.05353,                0.87333,                0.06452,                0.06863,                0.02437,                    nan,                 1.7531,                    nan,                    nan,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.5437,                 2.0929,                 1.6204,                 1.6012,                0.63529,                0.12903,                 0.1337,                0.05132,                0.22812,                0.09677,                0.07785,                0.01891,                    nan,                  1.743,                    nan,                    nan,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.3908,                 1.8679,                 1.4329,                 1.5689,                0.86085,                0.16129,                0.16749,                 0.0378,                0.77466,                0.09677,                0.09568,                0.01766,                    nan,                 1.7984,                    nan,                    nan,               0.001905,               0.001905,               0.001905
                     51,                 1.3183,                  1.829,                 1.3703,                 1.5017,                 0.5276,                0.12903,                0.09708,                0.04284,                0.17542,                0.09677,                0.02837,                0.00541,                    nan,                 1.9183,                    nan,                    nan,               0.001903,               0.001903,               0.001903
                     52,                  1.333,                 1.9608,                 1.4379,                 1.5055,                0.23334,                0.12903,                0.03733,                0.01082,                0.09985,                0.06452,                0.01349,                0.00231,                    nan,                 1.8924,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     53,                 1.3865,                 1.9106,                 1.4284,                 1.5369,                 0.3975,                0.09677,                0.09454,                0.03535,                 0.7343,                0.03226,                0.03867,                0.00838,                    nan,                 1.9159,                    nan,                    nan,               0.001899,               0.001899,               0.001899
                     54,                 1.2292,                 1.8343,                  1.267,                 1.4409,                0.22626,                0.16129,                0.07732,                0.03075,                0.55187,                0.06452,                0.04868,                0.00859,                    nan,                 1.7937,                    nan,                    nan,               0.001897,               0.001897,               0.001897
                     55,                 1.3181,                 1.9955,                 1.3882,                 1.5062,                0.29397,                0.12903,                0.08292,                0.02404,                0.14669,                0.06452,                 0.0406,                0.00927,                    nan,                 2.0318,                    nan,                    nan,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.3041,                 1.8601,                  1.277,                 1.4694,                0.60808,                0.12903,                0.08459,                0.04069,                 0.3111,                0.06452,                0.03173,                0.01012,                    nan,                 1.9188,                    nan,                    nan,              0.0018931,              0.0018931,              0.0018931
                     57,                 1.4316,                 1.9542,                 1.4728,                 1.5882,                 0.8192,                0.16129,                0.16613,                0.04679,                0.94133,                0.09677,                0.09543,                0.01588,                    nan,                 1.7806,                    nan,                    nan,              0.0018911,              0.0018911,              0.0018911
                     58,                 1.2521,                 1.7307,                 1.2143,                 1.4214,                0.56655,                0.12903,                0.08555,                0.04919,                0.33704,                0.06452,                0.02996,                0.01251,                    nan,                 1.9496,                    nan,                    nan,              0.0018891,              0.0018891,              0.0018891
