                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.36971,                 0.4176,                0.36048,                0.84757,                0.99195,                0.97789,                 0.9929,                0.95274,                0.99103,                0.97586,                0.99231,                0.84069,                    nan,                0.39245,                    nan,                    nan,              0.0094357,              0.0094357,              0.0094357
                     60,                0.37431,                0.41697,                0.36436,                0.85077,                0.99071,                 0.9802,                0.99218,                0.95506,                0.98919,                0.97867,                0.99223,                0.84514,                    nan,                0.39487,                    nan,                    nan,              0.0094258,              0.0094258,              0.0094258
                     61,                0.37184,                0.41656,                0.36152,                0.84993,                0.98296,                0.98059,                0.99161,                0.95347,                0.98456,                0.97618,                0.99094,                0.83715,                    nan,                 0.3887,                    nan,                    nan,              0.0094159,              0.0094159,              0.0094159
                     62,                0.36945,                0.41956,                0.35763,                0.84947,                0.98981,                0.97862,                0.99218,                 0.9532,                0.98868,                0.97701,                  0.992,                0.83897,                    nan,                  0.396,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     63,                0.36758,                0.41877,                 0.3592,                0.84898,                0.99098,                0.97919,                0.99233,                0.95126,                0.98665,                0.98082,                 0.9923,                0.83958,                    nan,                0.38209,                    nan,                    nan,              0.0093961,              0.0093961,              0.0093961
                     64,                0.36741,                0.41373,                0.35285,                0.84912,                0.99074,                0.98068,                0.99217,                0.95303,                0.99019,                0.97954,                0.99204,                0.83798,                    nan,                0.38996,                    nan,                    nan,              0.0093862,              0.0093862,              0.0093862
                     65,                0.36814,                0.41505,                0.35672,                0.84937,                 0.9904,                0.97892,                0.99249,                0.95232,                0.98851,                0.97877,                0.99178,                0.83711,                    nan,                0.39552,                    nan,                    nan,              0.0093763,              0.0093763,              0.0093763
                     66,                0.37046,                0.41609,                0.35475,                0.84748,                0.99197,                0.97602,                0.99301,                0.95428,                0.99043,                0.97452,                0.99278,                0.83653,                    nan,                0.38909,                    nan,                    nan,              0.0093664,              0.0093664,              0.0093664
                     67,                0.36605,                0.41974,                0.35442,                0.84756,                0.98899,                0.98287,                0.99276,                0.95659,                 0.9863,                0.98059,                0.99143,                0.83881,                    nan,                0.39454,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     68,                0.36633,                 0.4176,                0.35244,                0.84833,                 0.9872,                0.98085,                0.99258,                0.95723,                0.98625,                0.97945,                0.99266,                 0.8428,                    nan,                0.38844,                    nan,                    nan,              0.0093466,              0.0093466,              0.0093466
