                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.34926,                0.30463,                 0.3157,                 0.8571,                0.79954,                0.49254,                0.56726,                0.54104,                0.77478,                0.49273,                0.56773,                0.50669,                    nan,                0.58943,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     53,                0.35647,                0.30852,                0.31739,                0.86434,                0.94226,                0.50551,                0.59795,                0.57018,                0.94396,                0.50608,                0.59886,                0.53151,                    nan,                0.60113,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     54,                0.34986,                0.30878,                0.31832,                0.86018,                0.92082,                0.50629,                0.59781,                0.57029,                0.92316,                 0.5075,                0.60208,                0.53469,                    nan,                0.52064,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     55,                0.34538,                0.30773,                0.30888,                0.86329,                0.91511,                0.51198,                0.58167,                0.55557,                0.91012,                0.51294,                0.58409,                0.51723,                    nan,                0.51249,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     56,                0.34435,                0.29599,                0.30723,                0.86137,                0.95446,                0.51765,                 0.6002,                0.56932,                0.95547,                0.51741,                0.59809,                0.52876,                    nan,                0.66712,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     57,                0.34613,                 0.2991,                0.30289,                0.86031,                0.93086,                0.50971,                0.59345,                0.56803,                0.95789,                0.51112,                 0.5969,                 0.5287,                    nan,                0.62193,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     58,                0.33962,                0.29977,                0.30864,                0.86138,                0.87475,                0.50289,                0.59246,                0.56336,                0.94047,                0.49774,                 0.5924,                0.52676,                    nan,                0.54723,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     59,                0.33983,                0.29735,                0.29938,                0.86087,                0.93843,                0.49513,                0.60029,                0.57304,                0.93925,                0.49513,                 0.6026,                0.53209,                    nan,                0.53684,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     60,                0.33782,                0.29225,                0.29549,                0.86039,                0.89476,                0.52616,                0.60682,                0.58101,                0.89766,                0.52524,                0.60702,                0.54272,                    nan,                0.57163,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     61,                0.34274,                0.29772,                0.30253,                0.86266,                0.96447,                0.47896,                0.57935,                 0.5546,                0.90982,                0.47961,                0.58172,                0.51906,                    nan,                0.60929,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     62,                0.34063,                0.29672,                0.30258,                0.85573,                0.95434,                0.44753,                0.52714,                 0.5062,                0.95682,                0.44876,                0.52917,                0.47042,                    nan,                0.69133,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     63,                0.33395,                0.28542,                0.29082,                0.86016,                0.75502,                0.53672,                0.61747,                0.59214,                0.75239,                0.53678,                0.61897,                0.55361,                    nan,                0.56973,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     64,                 0.3326,                0.29985,                0.29548,                0.85782,                 0.8531,                0.53639,                0.61791,                0.59155,                0.85175,                0.53767,                0.62204,                0.55319,                    nan,                  0.608,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     65,                 0.3363,                0.29577,                0.29415,                0.85351,                0.80523,                0.49878,                0.59909,                0.57714,                 0.8066,                0.49938,                0.60022,                0.54011,                    nan,                0.60804,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     66,                0.32788,                0.29326,                0.29039,                0.85378,                0.91333,                0.47238,                0.57272,                0.54887,                0.91445,                0.47299,                0.57466,                 0.5093,                    nan,                0.62966,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     67,                0.33104,                0.29027,                0.29477,                0.85698,                0.91442,                 0.5167,                 0.6076,                 0.5821,                0.93745,                0.51722,                0.61105,                 0.5432,                    nan,                0.64055,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     68,                0.33026,                0.29368,                0.29071,                0.85664,                0.84201,                0.47964,                 0.5813,                 0.5601,                0.84717,                0.48039,                0.58387,                0.52183,                    nan,                0.61459,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     69,                0.32922,                0.29306,                0.28711,                0.85633,                0.83402,                0.54009,                 0.6322,                0.60516,                0.84996,                0.54049,                0.63632,                0.57122,                    nan,                0.69337,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     70,                0.32754,                0.29296,                0.28936,                0.85548,                0.95087,                0.52414,                0.60767,                0.58377,                0.95441,                0.52525,                0.61159,                 0.5486,                    nan,                0.65879,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     71,                0.32764,                0.29073,                0.28385,                0.85509,                0.87515,                0.51499,                0.61674,                0.59389,                0.87515,                0.51499,                0.61703,                0.55579,                    nan,                0.61282,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     72,                0.32184,                0.27954,                0.28163,                0.85384,                 0.8171,                0.51163,                0.59956,                0.57656,                0.83093,                0.51361,                0.60382,                0.53779,                    nan,                0.59706,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     73,                0.31906,                0.27718,                0.27912,                0.85412,                0.82781,                0.55236,                0.62951,                0.60846,                0.82635,                0.55318,                0.63421,                0.56941,                    nan,                  0.619,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     74,                0.31751,                0.28708,                0.27805,                0.85052,                0.82352,                0.52798,                0.62125,                 0.5992,                0.82211,                0.52859,                0.62327,                0.55878,                    nan,                0.59977,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     75,                0.31817,                0.28388,                0.27963,                0.84977,                0.94853,                0.49312,                0.59785,                0.57522,                0.94726,                0.49344,                0.60154,                0.53738,                    nan,                0.64262,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     76,                0.31547,                0.28161,                0.27377,                0.85086,                0.82994,                 0.5161,                0.61258,                 0.5904,                0.83354,                0.51803,                0.61659,                0.54992,                    nan,                 0.5892,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     77,                0.31923,                0.28695,                0.27686,                0.85255,                0.76247,                0.51658,                0.60301,                0.58163,                0.77071,                0.51824,                0.60637,                0.54157,                    nan,                0.61578,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     78,                0.31089,                0.28211,                0.27882,                0.85077,                0.80205,                0.52826,                0.62346,                0.60212,                0.81893,                0.53161,                0.62755,                0.56107,                    nan,                0.67345,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     79,                0.31206,                0.29044,                 0.2713,                0.85069,                 0.7754,                0.47629,                0.57528,                0.55676,                0.82445,                0.47662,                 0.5773,                0.51656,                    nan,                0.65394,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     80,                0.31682,                0.27898,                0.27277,                0.85262,                0.84335,                0.51756,                0.60311,                0.58201,                0.84621,                0.51874,                0.60486,                0.54303,                    nan,                 0.6129,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     81,                0.31321,                0.27375,                0.27081,                0.85081,                0.91088,                0.48164,                0.58903,                0.56709,                 0.9086,                0.48371,                0.59279,                0.52673,                    nan,                0.60524,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     82,                 0.3159,                  0.279,                0.27522,                0.85379,                0.82889,                 0.5019,                0.60039,                0.57784,                0.83229,                0.50311,                0.60331,                0.53657,                    nan,                0.67006,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     83,                0.31275,                0.27559,                0.26782,                0.85576,                0.81641,                0.46554,                 0.5603,                0.54271,                 0.8161,                0.46681,                0.56322,                0.50882,                    nan,                0.65985,                    nan,                    nan,              0.0059905,              0.0059905,              0.0059905
                     84,                0.30745,                0.27285,                0.26484,                0.84834,                0.81563,                0.50386,                 0.6069,                0.58229,                 0.8166,                0.50447,                0.60814,                0.54532,                    nan,                0.66606,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     85,                0.30909,                0.27769,                0.26424,                0.84891,                0.82856,                0.48431,                0.57556,                0.55721,                0.82856,                0.48431,                0.57729,                0.51944,                    nan,                0.62301,                    nan,                    nan,              0.0058915,              0.0058915,              0.0058915
                     86,                0.30136,                0.26982,                0.26216,                0.84833,                0.86041,                0.49031,                0.58188,                0.56067,                0.87268,                0.49242,                 0.5849,                0.52126,                    nan,                0.66634,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     87,                 0.3098,                0.28099,                0.26892,                0.84893,                0.85819,                 0.5158,                0.61171,                0.58944,                0.86035,                0.51789,                0.61538,                0.54904,                    nan,                0.76453,                    nan,                    nan,              0.0057925,              0.0057925,              0.0057925
                     88,                0.30078,                0.27411,                0.26285,                0.84533,                0.84563,                 0.4851,                 0.5881,                0.56419,                0.78649,                 0.4871,                0.59153,                0.52905,                    nan,                0.71873,                    nan,                    nan,               0.005743,               0.005743,               0.005743
